country_name,country_code,indicator_name,indicator_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
aruba,abw,consumer price index (2010 = 100),fp.cpi.totl,,,,,,,,,,,,,,,,,,,,,31.982459138140502,,,,39.8575370165269,41.4646957639131,41.9100126677082,43.4368134807205,44.792853676488,46.5808177864629,49.299594672792,52.0384610435028,54.0541059764705,56.8733302847083,60.462651494245904,62.4950376641989,64.5106825971666,66.4459695926078,67.6881693768789,69.2317114268757,72.0314565915752,74.1085587734806,76.5654403862613,79.3649524114213,81.3721948111764,84.1370484876733,87.1727337163219,91.8735825241023,100.101768678965,97.96416676089692,100.0,104.316297421952,104.97085297229799,102.480875854163,102.91277219903999,103.40136457845699,102.43849522091699,101.385138831048,105.061405952227,109.534355432857,111.212
afghanistan,afg,consumer price index (2010 = 100),fp.cpi.totl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.523394809315704,71.5821433759539,76.4387030058668,83.0740187275294,105.021064735005,97.8679108385313,100.0,111.804185808913,119.005731346616,127.79522307373199,133.768366733582,132.883209191418,138.708665508891,145.610741438593,146.522481857209,149.89597520803198,
angola,ago,consumer price index (2010 = 100),fp.cpi.totl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22008150730772e-08,4.0801497972141896e-08,1.6300598454556698e-07,2.41008848315838e-06,2.5300928889588e-05,0.000699937697271513,0.0297130970585906,0.0948372889505529,0.19658330514343,0.6844950133372081,2.90908239295018,7.347208236109309,15.348129629383699,30.4236985252629,43.6708178150299,53.6948050312199,60.839011695292704,68.2927016592819,76.81278242835741,87.3593955494137,100.0,113.48246792185101,125.146088077866,136.131179284704,146.042056377604,159.405447922387,208.335449090845,270.510219450188,323.607609271218,378.88372145938905,
albania,alb,consumer price index (2010 = 100),fp.cpi.totl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11442010166843,16.6732867971191,30.8463727623279,37.8068730301404,40.753245267722605,45.939290450596,61.182073068213604,73.8118020636263,74.09925301363441,74.1363160790387,76.4401675415541,82.37997050816459,82.77869171703941,84.6660617563507,86.66975349740791,88.72445788761559,91.3264645210008,94.39789916400551,96.50429089802981,100.0,103.42912324722201,105.530385115854,107.57516037742701,109.324187306059,111.397164149808,112.817958876089,115.05926964030701,117.392740239273,119.049258384381,
andorra,and,consumer price index (2010 = 100),fp.cpi.totl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arab world,arb,consumer price index (2010 = 100),fp.cpi.totl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
united arab emirates,are,consumer price index (2010 = 100),fp.cpi.totl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.95312352042221,97.605246567666,99.1296581675539,100.0,100.87734659568501,101.54542588960501,102.663561221631,105.072324180443,109.348732137854,111.117434855702,113.302920986271,116.779772707568,114.524660532343,
argentina,arg,consumer price index (2010 = 100),fp.cpi.totl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armenia,arm,consumer price index (2010 = 100),fp.cpi.totl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462030295706842,16.0498210283141,44.289693873561,52.5635338054846,59.90180477414621,65.0967806009243,65.5187677213725,65.0005904218581,67.0454470164194,67.756161803785,70.9553051421402,75.8946893809888,76.3796018037861,78.5887722763934,82.05246309469949,89.3961202671007,92.4416376368405,100.0,107.650008078593,110.403716898759,116.79572532998199,120.27776643801799,124.766161254862,123.014933984404,124.20762929798201,127.33795197859,129.17600732674802,
american samoa,asm,consumer price index (2010 = 100),fp.cpi.totl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antigua and barbuda,atg,consumer price index (2010 = 100),fp.cpi.totl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5693807339448,80.4615825688071,81.0825688073393,82.2199923547401,84.1995685889035,85.8781127129751,87.621505024028,89.46046308431629,91.05982415902142,92.34927916120579,97.2750109217999,96.73984272608129,100.0,103.456749672346,106.95036041939699,108.08349716033199,109.261003713412,110.319735692442,109.779789209262,112.450169287899,113.807620427883,115.436612610656,
